task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
109	10/62e3ab	268445	QUALIMAP (JC-qualimap)	COMPLETED	0	2024-06-18 14:07:26.868	35s	28.9s	196.2%	4.4 GB	42 GB	24.2 MB	1.7 MB
74	44/c41d83	268407	B2C (PZ-b2c)	COMPLETED	0	2024-06-18 14:06:51.991	1m 15s	45.8s	47.8%	819.5 MB	1.3 GB	5.9 GB	9 MB
88	92/84e400	268425	B2C (PM-b2c)	COMPLETED	0	2024-06-18 14:07:07.109	59.7s	45.7s	44.6%	853.4 MB	1.3 GB	5.9 GB	4.5 MB
69	c7/c997cd	268406	B2C (DC-b2c)	COMPLETED	0	2024-06-18 14:06:51.960	1m 20s	50.4s	53.2%	751.6 MB	1.2 GB	5.9 GB	8.1 MB
70	43/949f15	268415	STRELKA_ONESAMPLE (DC-strelka)	COMPLETED	0	2024-06-18 14:06:52.296	1m 20s	50s	32.9%	27.1 MB	495.1 MB	63.9 MB	2.1 MB
71	a9/ccabee	268416	STRELKA_ONESAMPLE (PZ-strelka)	COMPLETED	0	2024-06-18 14:06:52.334	1m 20s	50s	33.5%	55.6 MB	530.3 MB	64.9 MB	2.1 MB
82	da/d946ad	268417	B2C (MC-b2c)	COMPLETED	0	2024-06-18 14:06:56.867	1m 15s	51s	55.4%	700.1 MB	1.1 GB	5.9 GB	6.9 MB
81	40/9bfaf4	268418	STRELKA_ONESAMPLE (MC-strelka)	COMPLETED	0	2024-06-18 14:06:56.906	1m 15s	50s	34.4%	26.9 MB	494.9 MB	61 MB	2.1 MB
84	20/9744ca	268424	STRELKA_ONESAMPLE (VM-strelka)	COMPLETED	0	2024-06-18 14:07:06.986	1m 5s	50s	36.8%	55.6 MB	530.3 MB	68.3 MB	2.1 MB
89	a7/3ecea7	268426	STRELKA_ONESAMPLE (PM-strelka)	COMPLETED	0	2024-06-18 14:07:07.145	1m 5s	50s	34.7%	55.6 MB	530.3 MB	57.5 MB	2.1 MB
92	6f/8a7fed	268432	STRELKA_ONESAMPLE (PP-strelka)	COMPLETED	0	2024-06-18 14:07:07.356	1m 5s	50s	32.7%	55.9 MB	530.3 MB	59.1 MB	2.2 MB
97	de/7d476e	268436	STRELKA_ONESAMPLE (RQ-strelka)	COMPLETED	0	2024-06-18 14:07:11.985	1m	50s	39.1%	55.6 MB	530.1 MB	59.9 MB	2.1 MB
99	b5/000308	268439	STRELKA_ONESAMPLE (NS-strelka)	COMPLETED	0	2024-06-18 14:07:12.085	60s	49s	22.8%	55.6 MB	530.2 MB	64.7 MB	2.1 MB
122	f7/b14d97	268457	QUALIMAP (JM-qualimap)	COMPLETED	0	2024-06-18 14:07:36.870	35.2s	29.9s	208.6%	4.3 GB	42 GB	27.3 MB	1.7 MB
130	11/375fd0	268467	QUALIMAP (YA-qualimap)	COMPLETED	0	2024-06-18 14:07:47.085	25s	22.4s	203.3%	4.3 GB	42 GB	23 MB	1.7 MB
132	1a/3f894b	268470	BCFTOOLS_FILTER (ML)	COMPLETED	0	2024-06-18 14:07:57.495	14.6s	0ms	43.0%	4.4 MB	51.6 MB	160 KB	159.5 KB
83	b7/e1650a	268423	B2C (VM-b2c)	COMPLETED	0	2024-06-18 14:07:06.948	1m 10s	58.1s	69.8%	713 MB	1.2 GB	5.9 GB	11.3 MB
106	5d/61f4fc	268444	STRELKA_ONESAMPLE (KV-strelka)	COMPLETED	0	2024-06-18 14:07:22.003	54.9s	50s	37.7%	55.9 MB	530.3 MB	59.7 MB	2.1 MB
110	c2/a7f7ec	268446	B2C (JC-b2c)	COMPLETED	0	2024-06-18 14:07:26.908	50s	45.1s	42.3%	973.9 MB	1.4 GB	5.9 GB	8.9 MB
126	38/865f80	268463	QUALIMAP (LV-qualimap)	COMPLETED	0	2024-06-18 14:07:46.937	30s	26.3s	232.5%	7.5 GB	42 GB	27.3 MB	1.7 MB
