Sample	QualiMap_mqc_generalstats_qualimap_avg_gc	QualiMap_mqc_generalstats_qualimap_median_insert_size	QualiMap_mqc_generalstats_qualimap_mqc_1_x_pc	QualiMap_mqc_generalstats_qualimap_mqc_5_x_pc	QualiMap_mqc_generalstats_qualimap_mqc_10_x_pc	QualiMap_mqc_generalstats_qualimap_mqc_30_x_pc	QualiMap_mqc_generalstats_qualimap_mqc_50_x_pc	QualiMap_mqc_generalstats_qualimap_median_coverage	QualiMap_mqc_generalstats_qualimap_mean_coverage	QualiMap_mqc_generalstats_qualimap_general_error_rate	QualiMap_mqc_generalstats_qualimap_percentage_aligned	QualiMap_mqc_generalstats_qualimap_mapped_reads	QualiMap_mqc_generalstats_qualimap_total_reads	Samtools: flagstat_mqc_generalstats_samtools_flagstat_flagstat_total_1	Samtools: flagstat_mqc_generalstats_samtools_flagstat_mapped_passed_1	Samtools: flagstat_mqc_generalstats_samtools_flagstat_mapped_passed_pct_1	FastQC_mqc_generalstats_fastqc_percent_duplicates	FastQC_mqc_generalstats_fastqc_percent_gc	FastQC_mqc_generalstats_fastqc_avg_sequence_length	FastQC_mqc_generalstats_fastqc_median_sequence_length	FastQC_mqc_generalstats_fastqc_percent_fails	FastQC_mqc_generalstats_fastqc_total_sequences
66														0.12839599999999998	0.127917	99.63						
66.qualimap	37.95402394413036	104	100.0	100.0	100.0	100.0	100.0	477														
66.sort									524.1294	0.16	99.62693541854887	0.127917	0.12839599999999998									
66_S22.R1																	85.15503693596199	38.0	107.92697501529196	107	18.181818181818183	0.063759
66_S22.R2																	84.97937546071927	38.0	108.32103703006635	107	18.181818181818183	0.063759
67														0.119714	0.11921999999999999	99.59						
67.qualimap	38.2914759478366	104	100.0	100.0	100.0	100.0	100.0	458														
67.sort									504.9622	0.15	99.58734985047697	0.11921999999999999	0.119714									
67_S23.R1																	87.50440399295361	38.0	108.9854877946481	107	18.181818181818183	0.059605
67_S23.R2																	87.50272628135224	38.0	109.76545591812767	107	18.181818181818183	0.059605
68														0.11655499999999999	0.11555199999999999	99.14						
68.qualimap	38.266579053780845	103	100.0	100.0	100.0	100.0	100.0	395														
68.sort									431.3105	0.15	99.13946205653983	0.11555199999999999	0.11655499999999999									
68_S24.R1																	78.26410136735294	38.0	107.40766478245087	107	18.181818181818183	0.057849
68_S24.R2																	78.09988072395375	38.0	108.82680772355616	107	18.181818181818183	0.057849
69														0.10393	0.103277	99.37						
69.qualimap	37.61123005060335	103	100.0	100.0	100.0	100.0	100.0	404														
69.sort									448.5345	0.15	99.37169248532666	0.103277	0.10393									
69_S25.R1																	90.97459673524583	37.0	107.81997488650633	107	18.181818181818183	0.051765
69_S25.R2																	90.71959818410123	38.0	108.82273737081039	107	18.181818181818183	0.051765
70														0.099936	0.09962299999999999	99.69						
70.qualimap	38.06564330438296	104	100.0	100.0	100.0	100.0	100.0	387														
70.sort									431.9214	0.13999999999999999	99.68679955171311	0.09962299999999999	0.099936									
70_S26.R1																	90.62449702237245	38.0	107.74420569773056	107	18.181818181818183	0.049704
70_S26.R2																	90.49573474971834	38.0	109.34075728311605	107	18.181818181818183	0.049704
71														0.092571	0.09239499999999999	99.81						
71.qualimap	38.005122732123795	104	100.0	100.0	99.98660953401178	99.9419746473844	99.93304767005891	359														
71.sort									408.9763	0.22	99.8098756630046	0.09239499999999999	0.092571									
71_S27.R1																	91.8694942903752	37.0	108.0305383360522	107	9.090909090909092	0.045974999999999995
71_S27.R2																	91.79771615008157	38.0	109.35382272974442	107	18.181818181818183	0.045974999999999995
72														0.094272	0.093162	98.82						
